"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"," "
"Aruba","","","","","","","","","","","","","","","","","","2132","2276","","","",""
"","282913","288922","267907","289028","300359","321298","319498","359120","318638","327145","470912.30005114","500629.94659704","514462.28943716","548834.772","534810.30349445","556341","562927","630147","705127.48462213","717795.3","286064.1974","399895.848",""
"Afganistán","3409","","","","","","","","","","21677","25021","17775","21696","25920","23532","22770","24207","10454","7334","4635.714","2865.737",""
"","71122","60104","52346","49482","56301","","","","","","120773.31996851","138169.49789716","146632.96028827","155038","145526.82330935","164614","157788","151203","157126.72652389","158874.79","92611.349","134532.013",""
"Angola","4399","4354","4343","4633","4849","4948","4965","5277","3361","3236","17060","12282","13072","14496","13716","13116","15482","13494","13978","13647","3792","3805",""
"Albania","3885","3974","3762","3800","4104","4309","4481","4930","5058","5140","9412","10373.210941827","10309.179137691","11196","1992","","306","1904","2935","2558","1274","1471",""
"Andorra","","","","","","","","","","","","","","","","","","","","","","",""
"El mundo árabe","470300","470936","473898","493857","553147","431300","471714","516679","504211","811221","1065038.0107151","1093318.5607949","1159025.9385852","1222183.5","1289638.7674406","1375862","1476812","1503553.38","1539592.7535302","1599362.272","664879.575","920600.238",""
"Emiratos Árabes Unidos","48330","50783","54952","71224","87217","","","","","170588","240855.107016","269521","311758","327076","352224","437638","463947","459137","455956","426157.272","185260","234612",""
"Argentina","168815","124493","113178","91657","90518","81298","74162","79465","74649","74546","92847.506540262","90214.520533881","101716.26891345","145136.02072473","134521","145585","149334","146631","161862","163106","27447","54218",""
"Armenia","4406","2804","2997","3842","5657","5939","6177","5975","6681","7632","8761","5561","6043","852","0","","","","814","2133","705","1598",""
"Samoa Americana","","","","","","","","","","","3420.570754564","3577.6138613861","3963.0036477332","8580","9144","","","","","","","",""
"Antigua y Barbuda","62070","72001","63361","67163","25700","26985","26175","27746","28356","26371","39865","36533.603996772","33606.039224431","52572","46404","40047","40928","24019","23206.966273393","21930.583128356","64","2105",""
"Australia","382514","388734","536867","529648","324939","342509","352909","353546","393363","403256","572906","593145.00247101","622917","641451","664970","668961","682937","672349","665384","684170","310837","383008",""
"Austria","138700","133561","135516","128449","137049","141968","149512","151070","150738","138942","176195","166729.99728709","162715.73598113","166251","162576","152056","149030","156761","130260","330226","121668","161093",""
"Azerbaiyán","8012","7922","8175","9195","11090","12470","12777","13039","12008","10264","9885","15082","16597","15886","21910","23781","24009","20699","19960","28974","11648","15844",""
"Burundi","","","","","","","","","","","","","","","","","","","","","","",""
"Bélgica","225906","178331","133682","132779","154218","151939","158016","173818","179019","249997","127677.53220986","131577","132099.34254194","130230","132976.52964928","141116","147324","145540","140674","137206.817","57072.125","73673.104",""
"Benin","1518","716","","","","","","","","","1255.4545454546","1381","1381","1728","648","1209","10","","","","","",""
"Burkina Faso","3368","1983","1257","1285","1415","1471","1512","1614","1413","1433","4235","3983.1502590674","3856.2245630018","3780","3672","3875","3861","3863","3988","4105","1790","3007",""
