"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","4.9245266387912","2.3554765883849","-2.1213407585409","0.10704547568486","6.3313650406911","-1.3773768598038","-0.06044372357286","1.8316404109855","0.57938319751835","-12.760270362802","-3.8278641362767","2.402778495985","-1.8393581428994","5.6369707589315","-2.2648691064654","-1.2555886101676","1.1211829579195","6.4749086232517","1.8764014374956","-2.7434014797617","-24.084569897394","27.696864587185"
"","0.62020038391918","0.89695534828623","1.2036734090307","0.33682362373632","2.8373481352599","3.4077358028933","3.7731041424219","3.795225659737","1.5620774096794","-1.8251183272686","2.4093993038876","1.2953654260239","-0.9579431113773","1.4303709933984","1.1755695518992","0.20328881733624","-0.53011536156453","-0.004161345532026","-0.0064791405489615","-0.48872290654781","-5.3161850654907","1.8418817434489"
"Afganistán","","-10.10196642549","20.567963460617","0.92702911944662","-2.4972546264573","7.3218738446614","1.0849881970577","11.803382663997","1.8647544641205","17.143534324727","11.099219918376","-3.2113643031494","8.2471442559073","2.0025221457611","-0.96480333093058","-1.6664164146546","-0.34580249552627","-0.25359378104697","-1.6885765916366","0.93283338563288","-5.3646659295943","-22.966941994596"
"","1.0804524271948","2.3438217438966","6.9213830496985","2.6420724588684","5.0220019037318","2.9051863322616","2.4719567243859","2.6201994632733","3.3535460101056","3.3429893351594","4.0099210418734","1.9450520936635","2.2590379139996","3.2548768480017","3.0898585674335","0.088258121324841","-2.5036445511096","-0.41020350710593","0.16889804283639","0.57295491921489","-3.527789055314","1.3858147519621"
"Angola","-0.23494563272276","0.83822732204327","9.937307248873","-0.46606074802607","7.1270765608229","11.009565573226","7.6142192031651","9.9351087072151","7.1630460121254","-2.7972899835542","0.57122094112722","-0.34506243533569","4.5380537801738","1.1063310346265","1.0307291179667","-2.642975330307","-6.0118907775114","-3.6306950380175","-4.676669584326","-4.0171141610325","-8.6724321291184","-1.9545980063689"
"Albania","7.6300224393702","9.3143971393935","4.8504753341914","5.9242115424577","5.9565695961824","6.0678824393572","6.5729229823636","6.7872289358867","8.3281084229243","4.0531398638015","4.2230838272104","2.8216424551401","1.5848728145102","1.187234352862","1.9853880918038","2.5168270541713","3.4802932167139","3.8981122674669","4.2763115510529","2.5235408428057","-2.745238677571","9.9227137080536"
"Andorra","2.8360535398907","5.3725329892535","0.076702357542175","4.196837093695","3.882383777315","1.5780402189053","4.2926214345356","4.220375420399","-2.9353820268669","-2.4780370723148","1.2226877027027","1.340893892411","-5.5712555431521","-4.0260270342698","2.1409389822478","1.2574160126915","2.5745045877467","-1.4165790203586","-0.0038702955573626","0.23829656950252","-12.735077561117","6.4594405318002"
"El mundo árabe","4.2157960838706","-0.55457873212291","-1.5164983886011","2.6288951259704","6.552389701928","3.061790555119","3.5353042253267","1.7718661615614","2.7699467477248","-2.1661108634554","2.3201633517109","1.3689091401419","2.7862784018967","0.21523415346189","0.12172962039149","1.2056016288999","1.4687629721628","-0.5461563896335","0.51614364897998","-0.38366226113152","-7.035206400066","3.4375095396055"
"Emiratos Árabes Unidos","4.8361296477332","-3.8515541402922","-2.6254716946755","3.6710471691518","4.6305762748588","-2.1904206134814","-4.0177153998841","-13.92338740284","-13.287427562874","-17.14539389789","-4.2563858646072","5.0588087114974","0.76963884703815","4.0126921454307","3.1742024869208","5.8173578713259","4.6535053950016","-0.087326071374505","0.51723988870181","0.32368652680685","-5.7310445216162","3.4872146628586"
"Argentina","-1.9069874983517","-5.4537969784805","-11.845950393823","7.7192296366372","7.9281570508042","7.7324969985169","6.9349817376445","7.9162105716446","3.0297854066404","-6.8679552250698","9.8442963984772","4.7886831385944","-2.1452844498181","1.2656851753708","-3.5785805098329","1.6296642794626","-3.1100638982146","1.7576481826569","-3.6016097565715","-2.9695624986622","-10.770273227749","9.6739209346543"
