"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","","","","","","","","","","","","","","","","","","223502","274280","","",""
"","14963609","14546112","14462573","15802323","17562611","20661751","22039609","23295972","23988552","23800085","30374164.935204","33507824.272435","35838679.014801","35112457.818","36350758.945447","39154692","41553429","45423814.08","52613964.077706","54851421.285204","19166036.418","24057585.264"
"Afganistán","149705","","","","","","","","","","1999127","2279341.1795286","1737962.1264066","2044188","2209428","1929907","1917924","1647425","1125367","1066747.3561925","449041.025","293212.994"
"","2949248","2627404","2072438","2081206","2604956","","","","","","7817344.2026979","9140452.1285985","9570161.787567","8677884","8030237.1696506","8696300","8129874","8837017","12337766.282301","11384912.635031","5328945.184","7425487.428"
"Angola","235448","193317","189619","198253","222032","239795","262666","277361","283887","274869","1010194","987798","1132424","1321872","1409952","1244491","1482546","1375523","1516628","1436959","356695","311488"
"Albania","136622","146273","137569","158888","179543","195702","213315","238913","243691","231263","768533","829778.92387071","814339.7302787","865848","151632","","26634","204090","303137","307741","124714","193259"
"Andorra","","","","","","","","","","","","","","","","","","","","","",""
"El mundo árabe","45723758","46769231","49871837","52465002","60950501","43608649","47875367","51722644","53542019","95372047","126796491.87913","135837641.38979","152014159.66127","166209279.14078","181627311.07691","195957046","214318723","223496214.05","232670166.88982","246284712.90189","78203120.459","100893015.318"
"Emiratos Árabes Unidos","6893085","7675845","9667005","11609840","14314326","","","","","31761631","44948143.849412","50342891.802869","59948766.697648","68151865","75608196","84343562","91763598","95306195","95758342","93995208.09","26116897","28422616"
"Argentina","8915627","5808770","5662905","6036360","6795484","6938436","6611915","7036784","6147290","5694547","9025035.3118736","8590839.8497729","9375669.7396375","11951276.822393","12121912.818","14245183","15076354","16749271","18084553","19461377","3680874","6708097"
"Armenia","298232","369164","407777","366581","509904","555795","605817","560626","623688","653320","704753","392312","364733","45000","0","","","","53259","193668","54940","179200"
"Samoa Americana","","","","","","","","","","","49772.788695371","50641.722772277","56096.979676915","72240","76944","","","","","","",""
"Antigua y Barbuda","1426114","1369069","1286925","1428487","714000","778260","754912","800207","813010","747969","1554309","1424420.1553899","1310276.4134174","1218000","1216152","1039810","1042929","590517","580174.15683482","526333.99508055","356","40633"
"Australia","32577569","33477398","39021581","41386432","41596552","44657324","46951775","48728837","51488427","50026967","60640913","63360310.337766","66355274","68197955","68123237.669317","69779346","72446421","74257326","75667645.034751","76850596.719","23346254","24572955"
"Austria","6641875","6550376","7070344","6902780","7619372","8037890","8785116","9140909","9140680","8520740","13493793","14088251.664057","14518841.052972","15037454","15210489","14718641","14724774","16171640","12935505","46476602","13285414","18901048"
"Azerbaiyán","545800","543800","575300","683700","1007000","1134300","1253400","1440700","756338","839514","796698","1348414","1560084","1651710","1770192","1803112","1961639","2331308","2279546","2585280","545265","1102455"
"Burundi","","","","","","","","","","","","","","","","","","","","","",""
"Bélgica","10738119","8489007","2341816","2904114","3264582","3340509","3641155","4078094","5878585","4858700","7528586.3042496","8638553.1","9508165.3149454","9521421","10535219","11473055","12545322","13676844","13639487","14279187","3520849.848","5404284.479"
"Benin","77273","46364","","","","","","","","","53012.818181818","58314.1","58314.1","137640","60264","112392","899","","","","",""
"Burkina Faso","143529","100286","53236","54475","61364","66273","73131","77810","80543","79345","160000","133709.77917108","125693.69644491","138996","117420","122590","144950","145049","189545.33687603","185841","70228","112940"
"Bangladesh","1331369","1449980","1536102","1587606","1650276","1634473","1729451","1242865","1224222","1409414","1818901.0188272","2022388.5722157","2195061.6802991","2781708","3051914.7332139","3997815","3815869","4660739.0383111","5677396","6260241","2984121.694","3750753"
"Bulgaria","535246","233963","62798","310952","476277","653703","808451","855229","1073496","798165","801840","932868","973062","1013220","1060147","1063498","1092333","1133069","1022645","832828","443067","41126"
"Bahrein","1382461","1250076","1255713","1850491","2284547","","","","","5215512","6028980","5590998.0406064","5861786.9990069","4626648","5171496","5313756","5220218","5190484","5877003","6440562","1451359","1840268"
"Bahamas","1860623","1625689","1543274","1601347","900000","1020000","1033407","1089636","1088876","979042","967914","1056129.5948594","1048391.0668218","576996","991463.32887981","900028","937476","921470","1830394.8620746","1856546","1272798.762","1065149.134"
"Bosnia y Herzegovina","69142","64993","65643","72864","","","","","56313","79977","56485.161815801","40182.439766754","24874.089632018","15000","36636","7071","","","","5375","1593",""
"Belarús","210899","221714","204908","234273","274185","281877","307403","344290","351165","333252","652142","737599","943081","1159500","1317732","1489035","2057194","2493100","2760168","3208254","1227674","1040730"
"Belice","","","","","","","","","","","143928","179471.41354269","448015.91402667","513175.6","877765","935604","990499","1285642","1297533.2230789","1278187.556","971426.138","670361.821"
"Bermudas","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","1756608","1557128","1508700","1770774","1824313","1892343","1443165","1744663","1718196","1537032","1781340","2125912.5265979","2206069.7606697","2027888","3563043.5828127","4115271","3678739","4053427.35","4122113","4066959","2627202.201","4311879.56"
"Brasil","31287784","34285574","35889538","32372040","35263795","37661733","40945038","45286990","58763225","67945578","74627064","87860363","94752568","95591641","100403628","102039359","94142377","96395709","102109977","102917546","45405756","61896523"
"Barbados","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","863547","1007542","1035795","956133","1079578","977516","1041478","1017028","1075754","999375","1263270","1312935","1044170","1139784","1061148","1150003","1168609","1172201","1234455","1421313","280622","27881"
"Bhután","34425","35114","40859","36365","45456","49092","51056","53609","52805","49056","181537.37171644","226153.12662163","193405","207996","302160","162864","224101","254643","275849","276092","48825","22380"
"Botswana","163909","169526","179041","188842","212951","229987","213587","227624","236182","233515","290195","415864.08440373","415130.02097776","270996","205992","226549","254396","223673","253417","254439","","172017"
"República Centroafricana","77273","46364","","","","","","","","","","","","","","","","","","","",""
"Canadá","41767974","40451914","23323029","35884417","40701307","45229860","46726978","52103547","53718757","52583516","63277409.375339","66078011.954739","70467400.792869","71526725.918431","75528607","80228302","85406425","91404001","91504000","93352000","27620000","24951000"
"Europa Central y del Báltico","11117833","11445703","11808082","14065887","16768232","19040472","20221059","23721701","25261998","24733789","32710131.379004","34477031.594514","32490649.468497","35246300.748668","37875158.183182","39811670","42884394","52125994","62622491","69934611.3","22490703.181","30389422"
"Suiza","17268093","16914823","13295500","10118096","9287315","9662619","10647142","12298456","14352757","14701206","22146864","24866065","26386306.603467","27503416","27923164","27011762","25859918","26732570","28857994","30339654","9009607.2","10988881.272"
"Islas del Canal","","","","","","","","","","","","","","","","","","","","","",""
"Chile","5174876","5315623","4986727","5246787","5463753","5939020","6016649","7190963","8021939","8097314","9269026","10949863","12892856","13806283","14347893","15006762","16362437","17664974","19517185","21197759","8019753","10302876"
"China","61891807","72660653","83671798","86040642","119789024","136721623","158013351","183613132","191001220","229062099","266293020","292160158","318475924","352795296","390878784","436183969","487960477","551234509","611439830","659629070","417255845","440301216"
"Côte d'Ivoire","107979","46364","","","","","","","","","516085","89791.867766357","39485.472201926","234996","237120","642893","667062","808471","825257","748540","322841","569309"
"Camerún","273000","324114","243122","315100","355610","384059","424794","453051","470598","466050","0","171007.2","248027.2","287208","275760","267208","343592","236000","265136","83882","40884","177992"
"Congo, República Democrática del","","95200","","","","","","","","","210913","252408.17955984","471536.20461493","456000","456228","476353","416033","959738","587653.03075283","550457.89262858","277588.159","392102.214"
"Congo, República del","127541","95188","46967","52268","","","","","","","341640.42916581","438178.47040732","703966.42107876","652452","553944","657927","577780","333899","508978.939934","541787.13686072","79620","157784"
"Colombia","8568734","9604390","9424850","9142585","8829094","9984424","10616356","11630594","12338706","12115330","16932435","18768534.770155","22012458.844377","26929238","28675159","30909723","32262658","32504898","33704037","37031843","12273939.724","26167360"
"Comoras","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","263547","242799","236577","252751","560000","690000","753511","793153","807957","776469","570553","620394.75112395","597982.60036822","600000","590304","548908","565810","336718","561944","675482","226645.666","76354.068"
"Costa Rica","877833","737895","675146","749885","901402","953217","943143","1017054","1023665","932581","1697893.8890269","1829514.9470822","1770111.378347","1498996","1427414","1525922","1572605","1822880","1950049","2033146","455830.6","669298"
